Type,Sex,Spayed/Neutered,Primary Breed,Primary Color,Secondary Color,Days in Shelter,is_adopted,Has Name,age_at_intake,intake_month,intake_dayofweek
Cat,Female,No,Domestic Shorthair,Black,Missing,0.0,0,0,242.0,8,1
Kitten,Male,No,Domestic Medium Hair,Brown Tabby,White,6.0,0,0,56.0,6,6
Cat,Female,No,Domestic Shorthair,Black,White,0.0,0,0,7.0,5,4
Dog,Female,Yes,German Shepherd,Black,Tan,65.0,1,1,547.0,5,6
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,2.0,1,1,772.0,5,0
Dog,Female,Yes,German Shepherd,Tan,White,7.0,0,1,2922.0,8,2
Cat,Female,Unknown,Domestic Shorthair,Tortoiseshell,Missing,1.0,0,0,11.0,5,2
Kitten,Male,Unknown,Domestic Shorthair,Black,Black,0.0,0,0,9.0,7,0
Cat,Male,No,Domestic Shorthair,Brown Tabby,White,5.0,0,0,42.0,6,0
Cat,Female,yes,Domestic Shorthair,Cream,White,13.0,1,1,1461.0,9,3
Cat,Male,Yes,Domestic Shorthair,Grey Tabby,White,38.0,1,0,49.0,5,6
Cat,Female,Yes,Domestic Medium Hair,Brown Tabby,White,19.0,1,0,731.0,7,3
Puppy,Female,No,Mastiff,Red,White,5.0,0,0,62.0,9,3
Cat,Female,Yes,Domestic Shorthair,White,Grey Tabby,23.0,1,1,547.0,5,0
Dog,Female,Yes,Chihuahua - Long-hair,Red,White,8.0,1,0,151.0,6,1
Cat,Male,No,Domestic Shorthair,Brown Tabby,Missing,33.0,1,0,42.0,6,0
Cat,Female,No,Domestic Shorthair,Black,Missing,0.0,0,0,2.0,5,5
Dog,Male,Yes,Catahoula Leopard Dog,Buff,Cream,33.0,1,1,548.0,4,6
Dog,Male,Yes,Siberian Husky,Brown,Tan,28.0,1,1,365.0,4,0
Cat,Male,No,Domestic Shorthair,Orange Tabby,Missing,2.0,0,0,1096.0,8,5
Cat,Female,No,Domestic Shorthair,White,Brown Tabby,4.0,0,0,122.0,5,1
Cat,Male,Yes,Domestic Shorthair,BLUE TABBY,Missing,26.0,1,1,365.0,4,3
Kitten,Male,No,Domestic Shorthair,Blue,Missing,2.0,0,0,34.0,7,0
Dog,Male,Yes,American Pit Bull Terrier,Brown,White,98.0,1,1,1096.0,2,4
Kitten,Female,Yes,Domestic Shorthair,Grey Tabby,Missing,37.0,1,1,35.0,7,2
Dog,Female,Yes,Doberman Pinscher,Brown,Tan,29.0,1,1,242.0,7,2
Cat,Male,Yes,Domestic Shorthair,White,Black,57.0,1,1,46.0,4,5
Dog,Male,Yes,Australian Shepherd,Black,Tri Color,4.0,1,1,151.0,5,5
Dog,Female,yes,Jack Russell Terrier,White,Black,36.0,1,1,364.0,8,2
Cat,Male,yes,Domestic Shorthair,Black,Missing,77.0,1,1,3652.0,6,3
